# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
1: (17, 13.486017), (13, 13.315971), (7*, 13.077824), (239, 12.895504), (211, 12.689836), (215, 12.386571), (207, 12.188443), (236, 11.883205), (250, 11.647398), (219, 11.354531)
3: (11, 9.314229), (7, 8.767903), (1, 8.758906), (215, 8.465097), (241, 8.242571), (207, 8.214431), (2, 8.178355), (8, 7.946179), (219, 7.6723247), (206, 7.532171)
4: (11, 7.96875), (2, 7.84375), (1*, 7.40625), (215, 7.09375), (5, 6.71875), (219, 6.71875), (7, 6.65625), (13, 6.625), (217, 6.625), (253, 6.59375)
6: (11, 9.258589), (215, 8.571678), (207, 8.243564), (216, 7.969132), (1, 7.966851), (10, 7.8009377), (8, 7.648179), (9, 7.5777836), (3, 7.299425), (205, 7.2555103)
7: (7, 14.210411), (219, 14.1899185), (207, 14.08575), (17, 13.572378), (2*, 13.335767), (4, 12.947047), (239, 12.6597185), (255, 11.852553), (211, 11.7935), (12, 11.785664)
10: (11*, 11.647337), (215*, 10.276604), (3, 9.987419), (1, 9.790954), (239, 9.7543545), (219, 9.520364), (9, 9.093494), (7, 9.067296), (5, 8.998952), (2, 8.606896)
11: (11, 11.123579), (7*, 11.021615), (13, 10.887883), (211, 10.700295), (17, 10.425154), (5, 10.386828), (3, 10.314172), (207, 10.154446), (4, 9.991403), (215, 9.891036)
13: (219, 13.617028), (13, 13.2406645), (7, 13.207561), (236, 12.435402), (8, 12.183863), (211, 12.140569), (1, 12.000368), (12, 11.829135), (10, 11.556648), (5, 11.268347)
14: (17, 17.07427), (11, 16.971676), (3, 15.701604), (8, 15.670184), (5, 15.614665), (250, 15.458701), (215, 15.24351), (219, 14.6368685), (4, 14.589322), (1, 14.586871)
15: (1, 0.0), (2*, 0.0), (3, 0.0), (4, 0.0), (5, 0.0), (6, 0.0), (7, 0.0), (8, 0.0), (9, 0.0), (10, 0.0)
16: (7*, 13.637547), (11*, 12.639553), (215, 11.950831), (216, 11.94852), (5, 11.5672035), (13, 11.486476), (239, 11.484781), (4*, 11.448073), (3, 11.327162), (8, 11.2016535)
17: (1, 0.0), (2, 0.0), (3, 0.0), (4, 0.0), (5, 0.0), (6, 0.0), (7, 0.0), (8, 0.0), (9, 0.0), (10, 0.0)
19: (11, 15.159143), (7, 14.622769), (5, 13.861112), (8, 12.957348), (245, 12.5115795), (251, 12.373113), (2*, 12.254569), (219, 12.22566), (13, 12.140586), (215, 12.125547)
21: (9*, 27.418217), (213*, 20.95677), (247*, 16.577337), (256*, 16.268625), (243*, 11.350764), (242, 1.266393), (274, 0.8531947), (347, 0.8531947), (702, 0.8531947), (706, 0.8531947)
22: (11*, 18.413204), (8, 15.995236), (5, 15.647398), (236, 15.142357), (13, 15.11242), (239, 14.833959), (3, 13.94152), (7*, 13.855211), (9, 13.855182), (215, 13.545289)
23: (215, 15.112019), (236, 14.506697), (11, 13.16469), (3*, 12.726233), (13, 12.367319), (241, 12.320963), (10, 12.180662), (12, 12.026276), (4, 11.990913), (213*, 11.82646)
25: (211*, 24.45027), (7*, 23.905062), (12*, 21.56706), (239*, 20.675928), (207*, 20.618425), (251*, 20.159904), (210*, 18.457256), (249*, 17.832138), (256*, 17.496214), (243*, 16.64318)
27: (215*, 18.106838), (17, 18.061283), (207, 17.548344), (219*, 17.323673), (1*, 16.697596), (236, 16.388391), (206, 16.287676), (4, 16.277964), (9, 15.945966), (8, 15.546912)
28: (11*, 26.352854), (17*, 25.160252), (219*, 23.401087), (9*, 20.51383), (4*, 20.281944), (233*, 14.149182), (214*, 13.131751), (675, 3.4087322), (494, 1.800079), (631, 1.6065027)
29: (318, 2.4569879), (207, 2.4321325), (512, 2.2673528), (696, 2.049071), (432, 1.8560041), (278*, 1.8299162), (746, 1.8257161), (536, 1.7884146), (787, 1.7509711), (585, 1.7331481)
30: (8*, 14.544745), (253*, 13.149612), (210*, 9.790901), (243*, 7.4295783), (256*, 5.729243), (307, 2.6094892), (218, 1.4240705), (638, 1.1817244), (1178, 1.144461), (1666, 0.89580315)
31: (7, 12.573826), (3, 10.520632), (207, 10.505746), (10, 10.133498), (236, 10.041321), (8, 9.85659), (9, 9.812179), (17, 9.277903), (241, 8.479437), (219, 8.379417)
32: (211, 11.370991), (215, 11.300184), (2*, 11.213779), (7*, 11.067664), (216, 10.853752), (11, 10.611156), (219, 10.474636), (207, 10.07659), (3, 9.803475), (217, 9.697383)
33: (9, 19.327696), (3, 18.10019), (17, 17.262684), (13, 17.17898), (5, 17.143192), (219, 16.723171), (239, 16.561325), (6, 16.227644), (215, 15.959774), (10, 15.651727)
34: (13, 16.320074), (215, 16.120695), (253, 15.4811945), (236*, 15.326395), (5, 14.816646), (211, 14.616736), (235, 14.600509), (250, 14.247529), (9, 14.094985), (8, 13.457395)
35: (11, 9.872703), (13, 9.812055), (215, 9.331993), (7*, 9.30733), (5, 9.108357), (3, 8.820467), (213, 8.557515), (1, 8.413679), (254, 8.398343), (216, 8.336675)
36: (17*, 28.45124), (1*, 22.198761), (239, 20.21964), (233, 18.87736), (220, 18.20475), (205*, 17.696465), (212, 17.335844), (121, 16.741716), (253, 16.543514), (251, 15.8984165)
37: (219*, 28.8963), (7*, 27.372843), (4*, 23.209951), (206*, 20.621643), (245*, 18.332172), (251*, 18.294231), (249*, 15.918504), (252*, 15.069252), (425, 1.6333832), (1293, 1.2713954)
38: (8*, 26.080618), (3*, 24.082993), (1*, 20.677612), (216*, 19.92864), (257*, 17.89375), (246*, 16.015013), (247*, 15.446855), (254*, 14.032504), (297, 2.0198514), (1173, 1.8959757)
39: (8*, 18.337015), (211, 18.179798), (219, 17.01736), (3, 15.428577), (215*, 14.830267), (250, 14.41332), (13, 13.831276), (4, 13.296234), (1, 12.51852), (233, 12.410275)
40: (1, 0.0), (2, 0.0), (3, 0.0), (4, 0.0), (5, 0.0), (6, 0.0), (7, 0.0), (8, 0.0), (9, 0.0), (10, 0.0)
42: (8, 11.909091), (4, 11.136364), (13, 10.863636), (1, 10.363636), (207, 10.318182), (219, 10.045455), (3, 9.818182), (9, 9.590909), (5, 9.545455), (6, 9.545455)
43: (5, 11.580742), (3*, 11.510057), (219, 10.142353), (4, 9.794627), (10*, 9.702161), (236, 9.693768), (205, 9.693251), (255, 9.679533), (7, 9.574302), (216, 9.50672)
44: (5, 13.292493), (8, 12.84223), (7, 12.505598), (2, 12.050658), (13*, 11.9609785), (236, 11.792468), (3, 11.4944725), (17, 10.864253), (9, 10.856195), (219, 10.762769)
45: (11*, 10.713694), (236, 9.8267975), (250, 9.562463), (211, 9.265428), (219, 8.922961), (10, 8.692419), (9, 8.667742), (17, 8.63743), (233, 8.56491), (3, 8.396594)
46: (7, 13.807911), (5*, 13.196927), (207*, 12.582161), (205, 11.807844), (206, 11.301537), (211, 11.281364), (235, 11.055366), (217, 10.435707), (215, 10.362105), (245, 10.2338915)
50: (8*, 28.636223), (250*, 23.78823), (211*, 20.802448), (251*, 19.817432), (255*, 18.922781), (216*, 18.241879), (205, 18.195927), (220*, 17.88404), (257*, 17.494116), (249, 16.723566)
51: (616, 0.5), (842, 0.5), (343, 0.375), (217, 0.34375), (1123, 0.28125), (121, 0.25), (212, 0.25), (233, 0.25), (275, 0.25), (344, 0.25)
52: (11*, 11.580333), (216, 9.818716), (2, 9.638753), (7, 9.314598), (212, 8.913905), (205, 8.885191), (9, 8.642354), (233, 8.600963), (17, 8.384192), (8, 8.170352)
53: (212*, 11.216161), (252*, 11.134776), (214*, 10.147016), (250*, 9.534673), (247*, 9.532782), (257*, 9.506676), (233*, 9.399908), (210*, 9.377925), (84*, 8.739829), (244*, 6.828699)
55: (5, 22.182827), (13*, 22.109837), (219, 19.44313), (255*, 18.780195), (233, 17.694187), (250, 17.287397), (214*, 16.412268), (251, 16.278095), (213, 16.144344), (84*, 15.865892)
56: (11*, 24.503025), (4*, 20.619587), (12, 19.361103), (215*, 19.091227), (239, 18.891012), (2*, 17.209578), (216, 15.750758), (205, 15.730371), (217, 14.871425), (257, 14.596523)
57: (1, 0.0), (2*, 0.0), (3, 0.0), (4, 0.0), (5, 0.0), (6, 0.0), (7, 0.0), (8, 0.0), (9, 0.0), (10, 0.0)
58: (144, 0.25), (215, 0.25), (236, 0.25), (918, 0.25), (920, 0.21875), (917, 0.21875), (10, 0.1875), (16, 0.1875), (7, 0.125), (207, 0.0625)
61: (7*, 18.152977), (219, 17.840864), (215, 16.369486), (11, 16.21422), (236, 15.569409), (3, 14.561009), (239, 14.244445), (205, 13.500005), (9, 13.340017), (13, 13.2388115)
63: (584, 0.625), (284, 0.5785916), (706, 0.56812054), (735, 0.51871353), (597, 0.5024196), (588, 0.49030447), (148, 0.47324437), (453, 0.46039236), (529, 0.45830297), (684, 0.45830297)
64: (13*, 26.381685), (2*, 24.236921), (7*, 24.037468), (213*, 23.389439), (247*, 22.59413), (205*, 22.476233), (239*, 22.017237), (206*, 21.103983), (250*, 21.031393), (212*, 19.320461)
65: (11, 13.843016), (7*, 13.433246), (5, 13.224123), (13, 12.7885), (215, 12.494355), (1, 11.980516), (219, 11.631692), (8, 11.5599985), (9*, 11.322644), (251, 11.28988)
66: (13, 12.837393), (215, 12.614834), (17, 12.426334), (8, 12.132611), (10, 11.73483), (11, 11.103701), (216, 11.056573), (241, 10.954022), (205, 10.938513), (236, 10.738349)
67: (215, 20.380356), (10, 19.833029), (9*, 19.75204), (3, 19.452154), (213, 17.687172), (219*, 17.304483), (2, 17.217512), (13, 16.390018), (255, 15.839609), (205, 15.757827)
68: (6*, 0.0), (10*, 0.0), (14, 0.0), (15, 0.0), (16, 0.0), (20, 0.0), (19, 0.0), (22, 0.0), (21, 0.0), (24, 0.0)
