# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
3: (1, 12.237127), (13, 11.937381), (7, 11.652253), (8, 11.18792), (11, 11.106644), (216, 10.825027), (219, 10.656783), (215, 10.6060295), (2, 10.589105), (207, 10.536154)
6: (5, 9.087108), (13, 8.997484), (2*, 8.171715), (1, 8.14737), (11, 7.954384), (239, 7.732461), (245, 7.6215315), (4, 7.6064644), (17*, 7.4479327), (219, 7.3871403)
7: (7, 17.152546), (5, 13.972158), (219, 13.867506), (4, 12.713519), (1*, 12.444946), (239, 12.342201), (12, 12.021257), (250, 11.820449), (207, 11.585651), (206, 11.531427)
9: (1, 0.0), (2, 0.0), (3, 0.0), (4, 0.0), (5, 0.0), (6, 0.0), (7, 0.0), (8, 0.0), (9, 0.0), (10, 0.0)
12: (7, 19.83257), (5, 18.980247), (250, 17.169767), (13, 16.758677), (10, 16.617256), (1, 16.579939), (207*, 16.421467), (206, 15.825269), (215, 15.724104), (245, 15.582643)
13: (1, 0.0), (3, 0.0), (6, 0.0), (7, 0.0), (8, 0.0), (10, 0.0), (12, 0.0), (13, 0.0), (15, 0.0), (16, 0.0)
14: (11, 20.125229), (5, 19.627869), (13*, 19.297277), (219, 19.252508), (17, 18.65479), (250, 18.039957), (9, 17.392519), (213, 17.191734), (215, 17.03995), (4, 16.330236)
16: (17, 12.051087), (215, 10.870994), (5, 10.806899), (12*, 10.083677), (10, 9.553664), (8, 9.471704), (3, 9.441517), (211, 9.183045), (217, 9.1281395), (251, 8.981684)
19: (215, 15.969439), (11, 15.22846), (5, 14.190999), (207, 13.834061), (13, 13.503864), (7, 13.204693), (9, 12.731804), (205, 12.297195), (1, 12.030717), (8, 11.872835)
21: (7*, 23.6916), (219*, 22.82181), (255*, 18.192701), (207*, 16.936087), (233*, 16.10474), (216*, 15.006466), (235*, 14.781702), (253*, 14.549453), (121*, 12.939234), (220*, 12.427501)
22: (1*, 18.63182), (13, 17.045424), (207, 16.950987), (8, 16.764969), (213, 16.711327), (5, 16.599058), (10, 16.319595), (236, 15.130332), (216, 15.02866), (215, 15.00602)
