# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
1: (4*, 16.360044), (5*, 14.518662), (9*, 13.454417), (211, 13.354351), (219, 13.226616), (13, 13.201986), (215, 12.980445), (213, 12.460102), (6*, 12.219067), (10*, 12.0013685)
2: (1, 0.0), (2, 0.0), (3, 0.0), (4, 0.0), (5, 0.0), (6, 0.0), (7, 0.0), (8, 0.0), (9, 0.0), (10, 0.0)
3: (207, 9.691171), (8, 9.658498), (3, 9.048807), (205, 8.791981), (13, 8.695334), (2, 8.628309), (213, 8.516079), (211, 8.510654), (245, 8.492219), (11, 8.461548)
4: (13, 12.822304), (7, 12.379379), (11, 12.265173), (5, 12.143493), (205*, 11.77436), (2, 11.1552305), (9, 10.62644), (236, 10.576672), (8, 10.549967), (219, 10.446855)
5: (1, 0.0), (2, 0.0), (3, 0.0), (4, 0.0), (5, 0.0), (6, 0.0), (7, 0.0), (8, 0.0), (9, 0.0), (10, 0.0)
6: (205, 11.922336), (11, 11.505971), (3, 10.732746), (219, 10.447096), (13, 10.368222), (1, 10.029631), (7*, 9.910633), (5, 9.872481), (215, 9.515505), (239, 9.376806)
7: (215*, 16.191101), (205*, 15.766412), (13*, 15.553027), (11*, 14.8207445), (239, 14.380863), (7, 14.353447), (17, 13.404748), (236, 13.244818), (257, 13.20947), (250, 12.968148)
11: (1*, 9.848126), (11, 9.758866), (2, 9.331167), (207, 9.142153), (8, 9.0309515), (236, 8.955565), (13, 8.924673), (3, 8.888448), (215, 8.729157), (12, 8.592206)
12: (11*, 15.71093), (13, 13.601033), (215, 12.227627), (9, 11.882755), (213, 11.881032), (17, 11.784228), (1, 11.769129), (8, 11.724853), (12*, 11.563486), (5, 11.148311)
13: (11*, 11.565314), (5, 11.502672), (2, 11.429183), (7, 11.192572), (13, 10.979653), (219, 10.147781), (250, 9.866567), (211, 9.787427), (1, 9.698986), (205, 9.69432)
14: (11, 18.841208), (211*, 16.701681), (219, 16.00542), (236*, 15.480155), (215, 15.177422), (9, 15.151152), (2, 15.089104), (17, 14.871778), (1, 14.6923895), (8, 14.634359)
19: (215, 15.496752), (8, 15.334745), (7, 14.433793), (5, 14.013004), (9, 13.570249), (4, 13.380912), (13, 13.3295765), (216, 13.224127), (239*, 13.07083), (11, 12.980794)
20: (1, 0.0), (2, 0.0), (3, 0.0), (4, 0.0), (5, 0.0), (6, 0.0), (8, 0.0), (9, 0.0), (10, 0.0), (11, 0.0)
21: (215*, 26.596424), (13*, 26.38896), (239*, 20.786547), (3*, 20.496672), (84*, 19.967167), (234*, 19.809195), (205*, 18.029322), (214*, 16.922518), (252*, 16.535074), (249*, 16.175446)
22: (215, 16.883013), (2*, 16.39731), (207, 16.092266), (13, 15.831664), (5, 15.719285), (216, 15.049785), (9, 14.987364), (10, 14.850501), (211, 14.834029), (3, 14.4668665)
23: (17, 16.440958), (11, 16.207912), (13, 15.419471), (2, 14.012965), (205, 13.585567), (211, 13.251691), (206, 12.508711), (1*, 12.32283), (236, 12.280675), (7*, 12.149884)
25: (215*, 26.146158), (10*, 23.313251), (250*, 17.975868), (206*, 16.088581), (245*, 14.637198), (254*, 13.690934), (253*, 13.486422), (121*, 13.255265), (675, 2.9777875), (318, 1.551651)
27: (7*, 13.735484), (11*, 13.370896), (17, 13.12965), (207, 12.786331), (3*, 12.338075), (12, 11.52587), (84, 11.342836), (236, 11.048894), (8, 10.987046), (9, 10.92532)
28: (8*, 19.473549), (211*, 19.176495), (236*, 17.153118), (84*, 8.577979), (206*, 8.564603), (249*, 7.0909157), (1173, 1.8348014), (675, 1.7116901), (218, 1.4051371), (1156, 1.3883888)
29: (7, 3.7910705), (318, 3.324657), (512, 2.8116071), (432, 2.796105), (588, 2.5333204), (307*, 2.414932), (712, 2.2518911), (746, 2.1320124), (536, 2.0947971), (606, 2.009205)
