# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
1: (1*, 14.007547), (13, 13.716969), (213, 12.727662), (250, 12.581818), (17, 12.2637205), (219, 12.093664), (215, 11.379948), (216, 11.357946), (236, 11.000723), (239, 10.787258)
3: (215, 11.67881), (8, 11.497755), (236, 11.430794), (17*, 11.204709), (1, 11.141519), (9, 10.944152), (7, 10.846511), (13, 10.830911), (2, 10.530697), (11, 10.458233)
4: (13, 13.473269), (215, 12.242109), (7, 11.918674), (2, 11.619589), (216, 10.875802), (9, 10.761556), (10, 10.749627), (11, 10.548421), (4, 10.516188), (241, 10.424724)
6: (11, 10.184484), (205, 9.008757), (219, 8.55044), (3, 8.504517), (8, 8.445435), (1, 8.40267), (239, 8.387071), (5, 8.37396), (211*, 8.194217), (13, 8.18229)
7: (7, 16.104548), (17, 15.892806), (10*, 14.809767), (9, 14.640368), (239, 14.175441), (3*, 13.786524), (255, 13.783725), (4, 13.645133), (5, 13.633591), (8, 13.200434)
8: (1, 0.0), (2, 0.0), (3, 0.0), (4, 0.0), (5, 0.0), (6, 0.0), (7, 0.0), (8, 0.0), (9, 0.0), (10, 0.0)
10: (13*, 10.633706), (2, 10.300643), (10*, 10.276394), (3, 9.095988), (17, 8.888665), (236, 8.882676), (219, 8.55806), (7, 8.463235), (9, 8.386291), (214, 8.263156)
11: (11, 7.53125), (207, 6.78125), (8, 6.53125), (2, 6.46875), (12, 6.25), (236, 5.90625), (17, 5.875), (5, 5.84375), (219*, 5.84375), (13, 5.71875)
12: (1, 17.226149), (10, 16.490238), (239, 16.010174), (7, 15.864079), (5, 15.330779), (4*, 15.115387), (219, 15.083412), (9, 14.871322), (250, 14.865528), (13, 14.58397)
13: (13, 12.654779), (7, 11.714197), (17, 11.415605), (8, 11.247355), (215, 11.072063), (5, 11.035208), (250, 10.74363), (4*, 10.437255), (10, 10.393994), (1, 9.996465)
14: (250, 19.532913), (17, 18.912786), (215, 18.547712), (213, 17.655365), (11, 17.201431), (9, 15.651417), (8, 15.407596), (5, 15.331343), (3, 15.203877), (1, 15.054187)
16: (207*, 14.551439), (13, 12.485687), (17, 12.153791), (5, 11.777061), (239, 11.517601), (215, 11.275057), (10, 11.007016), (216, 10.979775), (206, 9.872536), (213*, 9.559865)
