# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
1: (11*, 14.423488), (8*, 13.943245), (13, 13.733316), (17, 13.7184725), (207, 13.530206), (216, 12.443691), (236, 12.324746), (234, 11.850091), (213, 11.692763), (241, 11.43381)
3: (211, 11.806951), (9, 11.753159), (215, 11.667618), (13, 11.2875395), (213, 11.118274), (251, 11.014212), (8, 10.928872), (250, 10.88458), (11, 10.682549), (207, 10.561546)
7: (9, 14.920596), (8, 14.870036), (213*, 14.830148), (7, 14.678658), (5, 14.553689), (207, 14.455013), (17, 13.707145), (211, 12.477327), (12, 12.248175), (239, 11.982615)
10: (1, 0.0), (2, 0.0), (3, 0.0), (4, 0.0), (5, 0.0), (6, 0.0), (7, 0.0), (8, 0.0), (9, 0.0), (12, 0.0)
12: (1, 15.358736), (13, 13.087206), (8, 12.714072), (5, 12.691678), (241, 11.999758), (213, 11.986351), (2*, 11.915755), (17, 11.740252), (214, 11.551967), (3*, 11.544195)
13: (215, 12.411468), (3, 12.192216), (211, 11.619925), (7, 10.756289), (236, 10.411171), (12, 10.237671), (8, 10.092691), (13, 10.019707), (219, 9.636364), (5, 9.419885)
14: (215, 19.231054), (11, 18.975458), (5, 17.718382), (17, 17.638817), (7*, 16.96736), (8, 16.753561), (9, 16.422579), (4, 16.063185), (213, 15.81254), (1, 15.637403)
16: (8, 13.603267), (17, 13.564206), (2*, 12.880031), (5, 12.232948), (13, 11.817473), (216, 11.073977), (215, 10.799724), (241, 10.275649), (205, 10.1730385), (233, 10.017771)
17: (1, 0.0), (2, 0.0), (3, 0.0), (4, 0.0), (5, 0.0), (6, 0.0), (7, 0.0), (8, 0.0), (9, 0.0), (10, 0.0)
20: (7*, 2.6875), (236, 2.59375), (2, 2.125), (5, 2.09375), (17, 2.09375), (1, 2.0625), (8, 1.84375), (11, 1.8125), (13, 1.6875), (205, 1.59375)
21: (236*, 24.941475), (5*, 23.977274), (4*, 23.24138), (8*, 21.78228), (206*, 18.711609), (250*, 17.52907), (254*, 16.988483), (257*, 15.555048), (336, 1.0697372), (181, 1.0185726)
22: (4*, 18.589628), (5, 16.624151), (9, 15.722948), (3, 15.363567), (219*, 15.356031), (216, 15.213548), (207, 15.070832), (205, 14.956566), (253, 14.852466), (250, 14.845323)
23: (11, 15.889965), (5*, 11.353301), (215, 11.06164), (4, 10.996314), (207*, 10.86117), (10, 10.834575), (17, 10.4617), (219*, 10.231058), (205, 10.218707), (13, 9.916912)
25: (8*, 25.900265), (13*, 24.377659), (205*, 21.26937), (236*, 20.446363), (2*, 19.172882), (219*, 18.654577), (3*, 17.452444), (255*, 15.676156), (214*, 14.5611), (235*, 12.426191)
26: (1*, 0.0), (2, 0.0), (3, 0.0), (4, 0.0), (5, 0.0), (6, 0.0), (7, 0.0), (8, 0.0), (9, 0.0), (10, 0.0)
27: (207, 16.492033), (9, 16.168255), (216*, 15.139861), (8, 14.898464), (4, 14.42648), (17, 13.814332), (5*, 13.534197), (205*, 13.346958), (251, 13.087447), (250, 12.95383)
28: (3*, 20.719439), (6*, 18.994827), (234*, 16.722797), (257*, 16.202679), (205*, 15.55893), (235*, 13.235022), (210*, 12.634581), (244*, 11.847908), (243*, 9.988204), (675, 1.693461)
29: (211, 2.1810226), (293*, 2.1502607), (522, 2.0683722), (219, 2.0130074), (318, 1.7883852), (696, 1.7002047), (242*, 1.6700251), (486, 1.6355227), (494, 1.6250027), (236, 1.5277787)
30: (3*, 17.347042), (205*, 16.329771), (217*, 14.169106), (216*, 14.069526), (254*, 13.348361), (220*, 12.797959), (12*, 12.754953), (255*, 12.319722), (5*, 12.027359), (244*, 9.863321)
31: (211, 12.253018), (5, 12.228309), (17, 11.741507), (6, 10.834252), (4, 10.822524), (3, 10.569717), (8, 10.417389), (219, 10.192408), (255, 10.023751), (236, 9.961687)
33: (211, 18.575838), (9, 17.771357), (8, 17.751247), (215, 17.397554), (5, 17.384283), (13, 16.954792), (17, 15.103444), (3, 15.010095), (220, 14.781335), (219, 14.251741)
34: (11*, 20.082977), (211, 19.709677), (5, 18.058157), (215, 18.00229), (8, 17.393757), (9, 17.217634), (4*, 17.020948), (13, 15.468297), (10*, 14.939977), (213, 14.875958)
35: (13, 11.06305), (11, 10.6029215), (1, 9.163342), (213, 9.011894), (5, 8.912888), (215, 8.912328), (10, 8.882429), (220, 8.50834), (250, 8.341946), (3, 8.240987)
36: (8*, 15.413572), (241*, 14.038172), (239, 13.564693), (211*, 12.760169), (213*, 12.645547), (257, 11.890304), (255*, 11.51613), (233, 11.364917), (4*, 11.336838), (250*, 11.33284)
37: (8*, 19.429617), (5*, 18.18335), (215*, 17.096027), (241*, 16.500566), (207*, 16.32001), (211*, 16.031063), (212*, 15.817364), (239*, 15.536515), (244*, 13.735863), (253*, 12.909461)
38: (17*, 26.709057), (215*, 24.826141), (7*, 24.060205), (207*, 20.778788), (5*, 19.675688), (241*, 18.504076), (121*, 16.917929), (206*, 14.626107), (243*, 12.518378), (244*, 11.750406)
39: (219, 24.19122), (13, 21.98409), (211, 21.89942), (1, 19.314154), (2, 19.013954), (3, 18.416111), (250, 18.240562), (255, 18.110706), (4, 17.83555), (206, 17.234745)
43: (13*, 13.488938), (2, 12.803774), (215*, 11.990025), (7, 11.621374), (9, 10.8801985), (207, 10.692049), (4, 10.586516), (211, 10.55152), (5, 10.348316), (6, 10.230701)
44: (7, 11.679166), (5, 11.44316), (2, 11.116717), (4*, 10.73982), (1, 10.726975), (17, 9.796881), (205, 9.48212), (213, 9.255161), (3, 9.164368), (220, 9.140281)
46: (7, 14.745405), (1, 12.953666), (236, 12.721251), (12*, 11.583206), (211, 11.083109), (215, 10.696846), (3, 9.694454), (257, 9.486084), (216, 9.256768), (241, 9.177236)
48: (1, 0.0), (2, 0.0), (3, 0.0), (4*, 0.0), (5, 0.0), (6, 0.0), (7, 0.0), (8, 0.0), (9, 0.0), (10, 0.0)
49: (1, 0.0), (2, 0.0), (3, 0.0), (4, 0.0), (5, 0.0), (6, 0.0), (7, 0.0), (8, 0.0), (9, 0.0), (10, 0.0)
50: (11*, 31.058601), (1*, 22.702303), (214, 21.515978), (233*, 21.148745), (205, 20.055466), (212, 19.472826), (246, 17.40685), (210, 16.950634), (247, 16.18221), (256, 15.72447)
51: (696, 0.375), (494, 0.34921527), (214, 0.25), (308, 0.25), (313, 0.25), (290, 0.25), (344, 0.25), (398, 0.25), (948, 0.25), (927, 0.25)
52: (2, 9.981778), (215*, 9.678823), (216, 9.555065), (1, 9.436178), (17, 9.200248), (207, 8.862113), (4, 8.849561), (205, 8.776409), (5, 8.747337), (7, 8.462033)
53: (9*, 15.760032), (234*, 15.130981), (215*, 15.041418), (4*, 12.22348), (243*, 9.111627), (6*, 9.008585), (341, 1.7367244), (512, 1.523791), (1482, 0.97886395), (1626, 0.97886395)
55: (215*, 21.670206), (219, 20.746346), (3*, 19.436035), (250, 18.558935), (205, 18.182411), (5, 18.017363), (4*, 17.721155), (234, 16.501951), (220*, 16.162542), (251, 15.555086)
56: (211*, 23.11739), (207*, 20.341234), (3*, 18.204256), (233, 17.167192), (12, 16.955301), (241, 16.264936), (206, 16.147984), (257, 15.889401), (217, 15.4721775), (239, 15.175384)
58: (215, 8.0625), (11, 7.9375), (219, 7.03125), (216, 6.90625), (245, 6.8125), (4, 6.75), (205, 6.65625), (211, 6.625), (8, 6.59375), (207, 6.59375)
60: (11, 8.0), (13*, 7.625), (211, 7.40625), (3, 7.375), (213, 7.1875), (1, 7.0625), (4, 6.875), (207, 6.875), (5, 6.84375), (9, 6.78125)
62: (1, 0.0), (2, 0.0), (3, 0.0), (4, 0.0), (5, 0.0), (6, 0.0), (8, 0.0), (9, 0.0), (10, 0.0), (11*, 0.0)
63: (5, 10.303635), (8, 9.158106), (205, 8.740963), (4, 8.658425), (13, 8.500285), (7, 8.379308), (17, 8.261357), (3, 8.075596), (213, 7.9547596), (10, 7.8408685)
64: (17*, 24.454058), (12*, 23.010963), (4*, 19.862564), (235*, 19.407997), (217*, 17.714182), (241*, 17.51134), (252*, 13.778053), (781, 1.7233938), (242, 1.6814908), (787, 1.5823358)
65: (215, 14.576152), (11, 14.138396), (211, 12.771391), (8, 12.374125), (5, 12.180771), (13, 11.3274145), (250, 11.238045), (1, 11.029474), (2*, 10.541462), (10, 10.387869)
66: (10, 9.986698), (11, 9.951139), (17, 9.9353695), (5, 9.638656), (13, 9.634653), (215, 9.538878), (250, 9.485041), (8, 9.026113), (1*, 8.911387), (213, 8.892125)
67: (211*, 21.629444), (11*, 21.361643), (8*, 19.916216), (2, 19.293903), (13, 19.281755), (3, 19.276785), (213, 18.966211), (215, 18.785814), (233, 18.522205), (255, 17.50802)
68: (2*, 0.0), (7*, 0.0), (11*, 0.0), (14, 0.0), (15, 0.0), (16, 0.0), (18, 0.0), (20, 0.0), (19, 0.0), (22, 0.0)
69: (7, 16.569063), (205*, 15.949999), (215*, 15.920527), (3, 15.052689), (12, 14.446905), (4, 14.218518), (239, 13.889927), (5, 13.877321), (213, 13.607502), (234*, 13.368825)
70: (7, 22.67745), (207, 19.104221), (239, 17.272278), (3, 17.115532), (6, 16.96686), (12, 16.92541), (13*, 16.1058), (213, 15.5442915), (84, 15.3029175), (121, 14.34434)
71: (215, 15.154419), (10*, 14.386222), (5, 14.043247), (7, 13.768872), (219, 13.266882), (8, 13.123381), (207*, 12.985548), (2*, 12.617193), (17, 12.585853), (236, 12.468299)
72: (1*, 18.626207), (17*, 17.235163), (219*, 17.003057), (217*, 15.302154), (251*, 11.218647), (220*, 10.893652), (248*, 5.784306), (218, 1.818478), (750, 1.7394145), (805, 1.2486851)
73: (13*, 24.489502), (7*, 23.55068), (215*, 23.016033), (251*, 20.627287), (9*, 18.584137), (244*, 17.579243), (12*, 17.01774), (233*, 15.450697), (235*, 15.424681), (6*, 13.935361)
75: (11, 11.624664), (13, 11.532739), (8, 10.506301), (4, 10.189706), (12, 10.075824), (7*, 9.852047), (215, 9.813151), (10, 9.804496), (213, 9.782425), (5, 9.6542225)
77: (1, 0.0), (2, 0.0), (3, 0.0), (4, 0.0), (5, 0.0), (6, 0.0), (7, 0.0), (8, 0.0), (9, 0.0), (10, 0.0)
78: (242, 1.334477), (712, 1.0266336), (657, 1.0151997), (17, 0.95035434), (3, 0.9399822), (13, 0.9272657), (705, 0.9111503), (638, 0.8468837), (750, 0.82132894), (675, 0.8048939)
79: (8*, 14.734433), (211, 13.66908), (10, 13.549312), (9, 13.484548), (13*, 13.453591), (219, 13.095725), (7, 12.899155), (5, 12.664072), (206, 12.661191), (236, 12.593676)
80: (11, 13.975668), (13, 13.746138), (1*, 12.700914), (5, 12.607929), (255, 12.233872), (17, 12.140033), (3, 12.084694), (8, 11.93693), (205, 11.717976), (10, 11.604485)
81: (211, 13.989561), (219, 13.877814), (17, 13.656772), (13*, 13.210693), (245, 13.078432), (4*, 12.698265), (8, 12.339742), (11*, 12.282019), (9, 11.961538), (1, 11.940245)
82: (17, 17.81982), (236*, 15.478492), (215, 14.311299), (5, 14.098554), (2*, 14.055772), (219, 13.70017), (213, 13.307615), (9, 13.131493), (13, 13.092663), (211, 13.053952)
83: (10*, 20.824173), (7*, 20.557362), (241*, 19.058601), (213*, 18.801805), (11*, 18.746302), (215*, 17.709671), (207*, 17.250702), (257*, 11.879887), (121*, 11.490865), (247*, 10.892264)
84: (211, 14.621219), (236*, 14.607088), (216, 13.957822), (207*, 13.816966), (215, 13.782879), (3, 12.058884), (10, 11.954818), (251, 11.730842), (253, 11.435878), (250, 11.375956)
85: (1, 0.0), (2, 0.0), (3, 0.0), (5, 0.0), (6, 0.0), (9, 0.0), (10, 0.0), (11*, 0.0), (12, 0.0), (14, 0.0)
86: (207*, 27.203445), (213*, 25.83931), (4*, 24.53506), (257*, 24.057226), (214*, 22.94178), (217*, 21.961477), (241*, 20.210941), (246*, 20.099323), (12*, 19.482613), (243*, 19.235638)
87: (215, 18.824028), (11, 18.741293), (211, 17.278057), (9, 17.248228), (13, 16.919506), (8, 16.802246), (219*, 16.725054), (5, 15.168332), (4, 14.908911), (1*, 14.778193)
88: (11, 15.873903), (8, 14.188317), (13, 13.999119), (4, 13.856853), (215*, 12.804502), (9, 11.977478), (251*, 10.70553), (239, 10.665828), (12, 10.47805), (2, 10.160075)
89: (7, 13.34503), (9, 12.236452), (11, 12.225872), (5, 11.955317), (207, 11.402147), (250, 11.387905), (206, 11.308844), (3, 11.300953), (17, 11.237882), (8, 11.2147255)
91: (215, 19.828373), (17, 19.808746), (211*, 19.333141), (5, 18.058247), (3, 17.906569), (233, 16.95218), (9, 16.737005), (13, 16.462904), (10, 16.231787), (213, 16.176395)
92: (5, 15.254153), (1*, 13.739088), (3, 12.957013), (250*, 10.409875), (257, 10.312643), (233, 9.94146), (121, 9.576199), (246, 9.114876), (6, 9.01055), (239, 8.9681015)
93: (8, 19.049349), (219, 18.029371), (236, 17.42312), (10, 17.087393), (7*, 16.385439), (213, 15.997423), (5, 15.364181), (206, 15.284437), (211, 14.294632), (17, 14.286345)
94: (215, 11.535802), (3, 11.154706), (2, 11.083938), (13, 10.99218), (11, 10.812849), (207, 10.7462845), (213, 10.331214), (17, 9.90611), (250, 9.883759), (211, 9.872326)
95: (11*, 23.038078), (236, 18.166454), (241*, 17.263191), (219, 16.919537), (239, 16.578606), (7*, 15.709889), (17, 14.213611), (9, 14.039531), (5*, 13.721547), (233, 13.323546)
96: (206*, 16.36595), (247*, 13.351096), (251*, 12.932606), (211*, 12.755414), (210*, 12.426044), (250*, 11.574704), (254*, 11.495145), (256*, 11.2593355), (235*, 10.0929365), (342, 1.2258072)
